,Art,Food,Leisure,Services,Shopping,Sports,Travel
0,Public Art,Japanese Restaurant,Bar,IT Services,Grocery Store,Tennis Court,Train Station
1,Performing Arts Venue,Italian Restaurant,Cocktail Bar,Home Service,Electronics Store,Gym Pool,Hotel
2,Art Museum,Restaurant,Wine Bar,Church,Convenience Store,Gym / Fitness Center,Bed & Breakfast
3,Art Gallery,Vegetarian / Vegan Restaurant,Sports Bar,Pharmacy,Discount Store,College Gym,Airport
4,College Arts Building,Middle Eastern Restaurant,Hotel Bar,Auto Dealership,Bookstore,Gym,Historic Site
5,Arts & Crafts Store,Swiss Restaurant,Hookah Bar,Auto Garage,Clothing Store,Hockey Arena,Boat or Ferry
6,Science Museum,Asian Restaurant,Karaoke Bar,Multiplex,Department Store,Hockey Rink,Scenic Lookout
7,History Museum,French Restaurant,Juice Bar,Community Center,Furniture / Home Store,Pool,Rental Car Location
8,Museum,Modern European Restaurant,Gastropub,Convention Center,Accessories Store,Soccer Stadium,Rental Service
9,Monument / Landmark,Vietnamese Restaurant,Pub,Farm,Shoe Store,Stadium,Campground
10,Concert Hall,Mediterranean Restaurant,Irish Pub,Post Office,Jewelry Store,Athletics & Sports,Platform
11,Zoo Exhibit,Tapas Restaurant,Jazz Club,Lighthouse,Pet Store,Beach,Light Rail Station
12,Music Venue,Ethiopian Restaurant,Nightclub,Construction & Landscaping,Paper / Office Supplies Store,Field,Tram Station
13,Outdoor Sculpture,Indian Restaurant,Comedy Club,Harbor / Marina,Hardware Store,Soccer Field,Bus Station
14,Opera House,Falafel Restaurant,Rock Club,,Supermarket,Bowling Alley,Gas Station
15,Fountain,Thai Restaurant,Sauna / Steam Room,,Farmers Market,Skate Park,Metro Station
16,,Fast Food Restaurant,Zoo,,Shopping Mall,Laser Tag,Bus Stop
17,,Seafood Restaurant,Bathing Area,,Watch Shop,Mini Golf,Bus Line
18,,American Restaurant,Spa,,Sporting Goods Shop,Golf Course,Hostel
19,,Mexican Restaurant,Coworking Space,,Miscellaneous Shop,Playground,Bridge
20,,Spanish Restaurant,Event Space,,Shop & Service,Skating Rink,Motel
21,,Comfort Food Restaurant,Movie Theater,,Board Shop,Rock Climbing Spot,Trail
22,,Sushi Restaurant,Indie Movie Theater,,Wine Shop,River,Border Crossing
23,,Peruvian Restaurant,Theater,,Flower Shop,Forest,Neighborhood
24,,Korean Restaurant,Tea Room,,Cosmetics Shop,Dog Run,Island
25,,Brazilian Restaurant,Adult Boutique,,Record Shop,Other Great Outdoors,
26,,Chinese Restaurant,Brewery,,Mobile Phone Shop,Mountain,
27,,Fondue Restaurant,Beer Garden,,Auto Workshop,Lake,
28,,German Restaurant,Botanical Garden,,Gift Shop,Cable Car,
29,,Scandinavian Restaurant,Garden,,Motorcycle Shop,Arcade,
30,,Jewish Restaurant,Park,,Butcher,Yoga Studio,
31,,Australian Restaurant,Plaza,,Boutique,Resort,
32,,Lebanese Restaurant,Pedestrian Plaza,,Organic Grocery,Waterfront,
33,,Tibetan Restaurant,Café,,,,
34,,Southern / Soul Food Restaurant,Gaming Cafe,,,,
35,,Hawaiian Restaurant,Lounge,,,,
36,,Molecular Gastronomy Restaurant,Bistro,,,,
37,,Turkish Restaurant,Speakeasy,,,,
38,,Argentinian Restaurant,Aquarium,,,,
39,,Malay Restaurant,General Entertainment,,,,
40,,Doner Restaurant,Taverna,,,,
41,,Paella Restaurant,,,,,
42,,Austrian Restaurant,,,,,
43,,Moroccan Restaurant,,,,,
44,,Food Truck,,,,,
45,,Food & Drink Shop,,,,,
46,,Food Court,,,,,
47,,Food,,,,,
48,,Breakfast Spot,,,,,
49,,Pizza Place,,,,,
50,,Cupcake Shop,,,,,
51,,Gourmet Shop,,,,,
52,,Dessert Shop,,,,,
53,,Coffee Shop,,,,,
54,,Ice Cream Shop,,,,,
55,,Bagel Shop,,,,,
56,,Chocolate Shop,,,,,
57,,Cheese Shop,,,,,
58,,Steakhouse,,,,,
59,,Bakery,,,,,
60,,Snack Place,,,,,
61,,Deli / Bodega,,,,,
62,,BBQ Joint,,,,,
63,,Fried Chicken Joint,,,,,
64,,Creperie,,,,,
65,,Sandwich Place,,,,,
66,,Burger Joint,,,,,
67,,Noodle House,,,,,
68,,Bratwurst Joint,,,,,
69,,Salad Place,,,,,
70,,Diner,,,,,
71,,Trattoria/Osteria,,,,,
